,plant_name,capacity_mw,start,plant_name_x,net_generation_gwh,usage,2021_cost_per_unit,2022_cost_per_unit,2022_units,own_IPP,own_Joint venture,own_Public,own_RENTAL & SIPP,fuel_GAS,fuel_HFO,fuel_HSD,fuel_HYDRO,fuel_IMPORT,fuel_SOLAR,fuel_WIND
38,United Jamalpur PPL,115.0,2019.0,United Jamalpur PPL,538.4717,0.53,12.39,17.25,627954216,True,False,False,False,False,True,False,False,False,False,False
39,Confidence CPBL- 2 Bogura,113.0,2019.0,Confidence CPBL- 2 Bogura,447.8107,0.45,12.52,16.56,655152288,True,False,False,False,False,True,False,False,False,False,False
42,Kodda Gazipur 149MW Power Ltd. (unit-1 Summit) ACE Alliance,149.0,2018.0,Kodda Gazipur 149MW Power Ltd. (unit-1 Summit) ACE Alliance,791.75,0.61,10.57,16.49,809133408,True,False,False,False,False,True,False,False,False,False,False
45,Manikganj 162MW P0wer Generation,162.0,2020.0,Manikganj 162MW P0wer Generation,373.1234,0.26,13.55,15.81,1041083049,True,False,False,False,False,True,False,False,False,False,False
48,Kodda Gazipur 300MW Power Ltd.(unit-2 Summit),300.0,2018.0,Kodda Gazipur 300MW Power Ltd.(unit-2 Summit),1280.2528,0.49,10.91,17.18,1421077329,True,False,False,False,False,True,False,False,False,False,False
49,United Anwara 300MW PS,300.0,2019.0,United Anwara 300MW PS,1195.9981,0.46,11.36,16.66,1677406561,True,False,False,False,False,True,False,False,False,False,False
50,Ghorashal 78 MW QRPP (3 Yrs Max Power),,2011.0,Ghorashal 78 MW QRPP (3 Yrs Max Power),102.4493,0.35,7.92,-,,False,False,False,True,True,False,False,False,False,False,False
51,"Shahjibazar 70 MW GT, Habiganj",70.0,2000.0,"Shahjibazar 70 MW GT, Habiganj",361.4274,0.628,3.64,3.04,416665550,False,False,True,False,True,False,False,False,False,False,False
52,Fenchuganj C.C. (Unit #2),104.0,1994.0,Fenchuganj C.C. (Unit #2),240.2846,0.34,3.61,3.12,"5 ,062,078",False,False,True,False,True,False,False,False,False,False,False
53,Karnafuli Hydro,230.0,1962.0,Karnafuli Hydro,654.9908,0.326,3.0,2.7,743538106,False,False,True,False,False,False,False,True,False,False,False
54,Sylhet 225 MW CCPP,231.0,2020.0,Sylhet 225 MW CCPP,1075.5239,0.548,2.95,213,"1).94,125,009",False,False,True,False,True,False,False,False,False,False,False
55,Baghabari 50 MW Peaking RE,52.0,1991.0,Baghabari 50 MW Peaking RE,85.4892,0.191,14.52,1926,106132634,False,False,True,False,False,True,False,False,False,False,False
56, Ghorasal Repowered CCPP Unit-4,210.0,2022.0, Ghorasal Repowered CCPP Unit-4,280.5226,0.197,3.13,68129,4491600,False,False,True,False,True,False,False,False,False,False,False
57, Ghorasal TPP Unit-6,0.0,2022.0, Ghorasal TPP Unit-6,-2.206,,3.13,68129,4491600,False,False,True,False,True,False,False,False,False,False,False
58,"Barapukuria Coal based S/T (unit 1,2)",250.0,2006.0,"Barapukuria Coal based S/T (unit 1,2)",86.4905,0.078,11.24,8.13,1094796315,False,False,True,False,False,False,False,False,False,False,False
60,Shikalbaha 225 MW PS,225.0,2017.0,Shikalbaha 225 MW PS,1014.6721,0.536,2.98,852,371948514,False,False,True,False,True,False,False,False,False,False,False
62,Haripur GTPP,32.0,,Haripur GTPP,-0.4225,,,-693.232516703786,"(347,975)",False,False,True,False,True,False,False,False,False,False,False
64,Bogura 20 RPP (3 Yrs) Energy Prima,20.0,2011.0,Bogura 20 RPP (3 Yrs) Energy Prima,30.3411,0.17,3.47,,,False,False,False,True,True,False,False,False,False,False,False
