Unnamed: 0,plant_name,capacity_mw,start,own_IPP,own_Joint venture,own_Public,own_RENTAL & SIPP,fuel_GAS,fuel_HFO,fuel_HSD,fuel_HYDRO,fuel_SOLAR,fuel_WIND,units,usage,cost_per_unit,year
23, Ghorasal TPP Unit-6,0,2022.0,False,False,True,False,True,False,False,False,False,False,0.0,0.0,68129,2022
24,Sharishabari 3 MW Engreen Solar Power Plant,3,2017.0,True,False,False,False,False,False,False,False,True,False,1.0605558226920513,15.0,16.42,2022
25,Kaptai Solar,7,2019.0,False,False,True,False,False,False,False,False,True,False,6.476719919092563,15.2,1556,2022
26,Sympa Solar Power 8 MW,8,2019.0,True,False,False,False,False,False,False,False,True,False,9.237556812387632,17.0,11.26,2022
27,20 MW Solar Teknaf,20,2018.0,True,False,False,False,False,False,False,False,True,False,34.559882457896535,21.0,12.04,2022
28,Saidpur 20 MW /GT,20,1987.0,False,False,True,False,False,False,True,False,False,False,0.0,0.74,182.97,2022
29,Sylhet 1x20 MW /GT,20,1986.0,False,False,True,False,True,False,False,False,False,False,65.3950894158131,37.7,3.6,2022
30,Bheramara GT unit-3,20,1980.0,False,False,True,False,False,False,True,False,False,False,,,,2022
31,Rangpur 20 MW /GT,20,1988.0,False,False,True,False,False,False,True,False,False,False,0.0,1.29,113.92,2022
32,Tangail Polly Power 22 MW TPPGCl,22,2020.0,True,False,False,False,False,True,False,False,False,False,,,15.83,2022
33,Haripur GTPP,32,,False,False,True,False,True,False,False,False,False,False,,,-693.232516703786,2022
34,Manikganj 35MW Spectra Solar Park Ltd.,35,2021.0,True,False,False,False,False,False,False,False,True,False,49.59501330991744,17.0,11.96,2022
35,50 MW HDFC Solar Power Plant,50,2020.0,True,False,False,False,False,False,False,False,True,False,89.95246980744724,21.0,14.7,2022
36,Baraka Patenga,50,2014.0,True,False,False,False,False,True,False,False,False,False,224.47732479921328,51.0,15.55,2022
37,Santahar 50 MW PP,50,2012.0,False,False,True,False,False,True,False,False,False,False,67.08324445884702,15.9,19.57,2022
38,Sinha Peoples Energy Ltd.Katpatti 52.5 MW Exp,51,2015.0,True,False,False,False,False,True,False,False,False,False,21.845964790047272,5.7,19.58,2022
39,Midland Power Co. Ashuganj 51 MW,51,2013.0,True,False,False,False,True,False,False,False,False,False,375.26825702854575,83.0,2.75,2022
40,Titas 50 MW Peaking PP,52,2011.0,False,False,True,False,False,True,False,False,False,False,104.3633349925129,23.3,18.5855546668254,2022
41,Lakdhanvi lanka- Bangla Jangalia Cumilla 52MW,52,2014.0,True,False,False,False,False,True,False,False,False,False,219.46561451520628,48.0,16.83,2022
42,Raj Lanka Power Gen.Com. Ltd.Nator 55 MW,52,2012.0,True,False,False,False,False,True,False,False,False,False,238.10565978203925,52.0,15.58,2022
43,Gazipur 52 MW PP,52,2012.0,False,False,True,False,False,True,False,False,False,False,216.2036065935105,47.3,18.11,2022
44,Baghabari 50 MW Peaking RE,52,1991.0,False,False,True,False,False,True,False,False,False,False,106.69334065086704,23.8,1926,2022
45,Ashuganj 50 MW PP,53,1986.0,False,False,True,False,True,False,False,False,False,False,237.4550166925366,50.9,2.14,2022
46,Faridpur 50 MW Peaking PP,54,2011.0,False,False,True,False,False,True,False,False,False,False,42.69292107667977,9.7,20.93,2022
47,Bhairab Power 54.5 MW,54,2021.0,True,False,False,False,False,True,False,False,False,False,198.89122492823032,42.0,16.95,2022
48,Kamalaghat Banco Energy Generation,54,2018.0,True,False,False,False,False,True,False,False,False,False,382.6539353418192,80.0,15.83,2022
49,Jodiac Power,54,2019.0,True,False,False,False,False,True,False,False,False,False,324.62360573752795,68.0,15.7,2022
50,Dhaka(Doreen) Northern Power Ltd.Manikgonj,55,2012.0,True,False,False,False,False,True,False,False,False,False,301.0597749285127,62.0,16.48,2022
51,Summit Narayangonj Power unit-2 Madangonj (55 MW),55,2016.0,True,False,False,False,False,True,False,False,False,False,291.2122038441481,60.0,17.29,2022
52,Dhaka(Doreen) Southern Power Ltd.Nobabgonj,55,,True,False,False,False,False,True,False,False,False,False,310.90734601287727,64.0,16.2,2022
53,"Shahjibazar 70 MW GT, Habiganj",70,2000.0,False,False,True,False,True,False,False,False,False,False,447.12914852185975,72.3,3.04,2022
54,"Baghabari 71 MW /GT
Baghabari 100 MW /GT",71,1991.0,False,False,True,False,True,False,False,False,False,False,50.22807145105516,8.6,1652,2022
55,Bera 70 MW Peaking RE,71,2011.0,False,False,True,False,False,True,False,False,False,False,58.45782728584555,9.9,2259,2022
56,Powerpac Mutiara Jamalpur Power plant Ltd,95,,True,False,False,False,False,True,False,False,False,False,12.666621743550294,2.0,22.02,2022
57,Fenchuganj C.C. (Unit #1),97,1994.0,False,False,True,False,True,False,False,False,False,False,421.4463314348696,49.4,3.12,2022
58,Hathazari 100 MW Peaking PP,98,2011.0,False,False,True,False,False,True,False,False,False,False,25.38053941139955,3.4,31.67,2022
59,Noapara100MW (Bangla Trac),100,2018.0,True,False,False,False,False,False,True,False,False,False,102.34985840472766,12.0,36.28,2022
60,Juldha Acorn 100 MW Unit-3,100,2020.0,True,False,False,False,False,True,False,False,False,False,590.7717992408454,67.0,15.09,2022
61,Shahazibazar 100 MW GT,100,2021.0,False,False,True,False,True,False,False,False,False,False,60.61198346055029,7.3,8.98,2022
62,"Aggreko, Brahmangaon 100MW",100,2019.0,True,False,False,False,False,False,True,False,False,False,120.11065625331376,14.0,35.24,2022
63,"Aggreko, Aourahati 100MW",100,2020.0,True,False,False,False,False,False,True,False,False,False,128.9910551776068,15.0,33.58,2022
