,plant_name,capacity_mw,start,own_IPP,own_Joint_venture,own_Public,own_RENTAL_SIPP,fuel_GAS,fuel_HFO,fuel_HSD,fuel_HYDRO,fuel_SOLAR,fuel_WIND,district_code,units,usage,cost_per_unit,year,fuel_Coal
171,KPCL( 115 MW) U-2,115.0,2011.0,False,False,False,True,False,True,False,False,False,False,khulna,107.977041881507,11.0,19.91,2022,False
172,Kodda 150 MW PP,149.0,2018.0,False,False,True,False,False,True,False,False,False,False,gazipur,,0.0,,2022,False
173,Sinha Peoples Energy Ltd.Katpatti 52.5 MW Exp,51.0,2015.0,True,False,False,False,False,True,False,False,False,False,narayanganj,21.8459647900473,5.7,19.58,2022,False
174,Santahar 50 MW PP,50.0,2012.0,False,False,True,False,False,True,False,False,False,False,bogra,67.083244458847,15.9,19.57,2022,False
175,Summit  Power Co. Ltd Madangonj (100 MW),102.0,2011.0,False,False,False,True,False,True,False,False,False,False,narayanganj,113.516300616462,13.0,19.21,2022,False
176,Titas 50 MW Peaking PP,52.0,2011.0,False,False,True,False,False,True,False,False,False,False,comilla,104.363334992513,23.3,18.5855546668254,2022,False
177,Julda Acorn Infra.service Ltd.100MW,100.0,2018.0,False,False,False,True,False,True,False,False,False,False,chattogram,217.795044420537,25.0,18.44,2022,False
178,Gazipur 52 MW PP,52.0,2012.0,False,False,True,False,False,True,False,False,False,False,gazipur,216.203606593511,47.3,18.11,2022,False
179,ECPV Chattogram Limited 108 MW,108.0,2019.0,True,False,False,False,False,True,False,False,False,False,chattogram,407.888336245503,43.0,17.58,2022,False
180,Summit Narayangonj Power unit-2 Madangonj (55 MW),55.0,2016.0,True,False,False,False,False,True,False,False,False,False,narayanganj,291.212203844148,60.0,17.29,2022,False
