,plant_name,capacity_mw,start,plant_name_x,net_generation_gwh,usage,2021_cost_per_unit,2022_cost_per_unit,2022_units,own_IPP,own_Joint venture,own_Public,own_RENTAL & SIPP,fuel_GAS,fuel_HFO,fuel_HSD,fuel_HYDRO,fuel_IMPORT,fuel_SOLAR,fuel_WIND,2022_usage,cost_increase,age,diff,log_usage_squared,log_age_squared,log_capacity_mw_squared,log_net_generation_gwh_squared,log_2021_cost_per_unit_squared,log_2022_cost_per_unit_squared,log_2022_usage_squared
57,Katakhali (Northern) Peaking,3.912023005428146,2012.0,Katakhali (Northern) Peaking,3.075965732264161,-2.995732273553991,2.3513752571634776,2.8021475244813256,297602757.0,False,False,False,True,False,True,False,False,False,False,False,-0.7624782684575763,5.98,2.3978952727983707,5.98,-5.991464547107982,4.795790545596741,7.824046010856292,6.151931464528322,4.702750514326955,5.604295048962651,-1.5249565369151525
58,Haripur 412 MW CCPP,6.021023349349527,1987.0,Haripur 412 MW CCPP,7.505261445017986,-0.6405547304407747,1.1019400787607843,0.9162907318741551,1981733402.0,False,False,True,False,True,False,False,False,False,False,False,-0.8861999530376258,-0.5099999999999998,3.58351893845611,-0.5099999999999998,-1.2811094608815494,7.16703787691222,12.042046698699053,15.010522890035972,2.2038801575215685,1.8325814637483102,-1.7723999060752518
60,Paramount Baghabari BanglaTrack,5.298317366548036,2019.0,Paramount Baghabari BanglaTrack,3.0964731350219385,-4.605170185988091,5.196672162785836,4.014399072045013,104571634.0,True,False,False,False,False,False,True,False,False,False,False,-1.670037676941898,-125.27999999999999,1.3862943611198906,-125.27999999999999,-9.210340371976182,2.772588722239781,10.596634733096073,6.192946270043877,10.393344325571672,8.028798144090025,-3.340075353883796
62,Ashuganj 450 MW CCPP (North),5.886104031450156,2017.0,Ashuganj 450 MW CCPP (North),7.64440423623658,-0.36528331847533263,1.0367368849500223,1.0818051703517284,2017615091.0,False,False,True,False,True,False,False,False,False,False,False,-0.7905187836427454,0.13000000000000034,1.791759469228055,0.13000000000000034,-0.7305666369506651,3.58351893845611,11.772208062900312,15.28880847247316,2.0734737699000445,2.163610340703457,-1.5810375672854908
64,Ashuganj 450 MW CCPP (South),5.886104031450156,2017.0,Ashuganj 450 MW CCPP (South),7.578438524104782,-0.43695577519953516,1.3532545070416904,1.324418957401803,2135112449.0,False,False,True,False,True,False,False,False,False,False,False,-0.7536413805167574,-0.11000000000000032,1.791759469228055,-0.11000000000000032,-0.8739115503990703,3.58351893845611,11.772208062900312,15.156877048209564,2.7065090140833807,2.648837914803606,-1.5072827610335149
66,Kamalaghat Banco Energy Generation,3.9889840465642745,2018.0,Kamalaghat Banco Energy Generation,5.7344700893873215,-0.4307829160924542,2.4397349311412793,2.761906873892921,376975008.0,True,False,False,False,False,True,False,False,False,False,False,-0.6542253172160105,4.359999999999999,1.6094379124341003,4.359999999999999,-0.8615658321849085,3.2188758248682006,7.977968093128549,11.468940178774643,4.8794698622825585,5.523813747785842,-1.308450634432021
68,Daudkandi 200MW(Bangla Trac),5.298317366548036,2018.0,Daudkandi 200MW(Bangla Trac),3.7022990077734015,-3.912023005428146,4.660794089736088,3.745496054532832,159163968.0,True,False,False,False,False,False,True,False,False,False,False,-1.5972147038598024,-63.39,1.6094379124341003,-63.39,-7.824046010856292,3.2188758248682006,10.596634733096073,7.404598015546803,9.321588179472176,7.490992109065664,-3.1944294077196047
69,ECPV Chattogram Limited 108 MW,4.68213122712422,2019.0,ECPV Chattogram Limited 108 MW,5.248362649550107,-1.6094379124341003,2.6026896854443837,2.866761892257031,407101368.0,True,False,False,False,False,True,False,False,False,False,False,-1.0313098057095675,4.079999999999998,1.3862943611198906,4.079999999999998,-3.2188758248682006,2.772588722239781,9.36426245424844,10.496725299100214,5.2053793708887675,5.733523784514062,-2.062619611419135
70,Digital  Power & Associates Gagnagar,4.624972813284271,2014.0,Digital  Power & Associates Gagnagar,5.7855590629050475,-1.0216512475319814,2.4406063908914204,2.830857630363757,440988642.0,True,False,False,False,False,True,False,False,False,False,False,-0.9541095452623849,5.48,2.1972245773362196,5.48,-2.043302495063963,4.394449154672439,9.249945626568541,11.571118125810095,4.881212781782841,5.661715260727514,-1.9082190905247696
71,Orion Power Sonargaon Ltd.,4.6443908991413725,2020.0,Orion Power Sonargaon Ltd.,6.11326771342192,-0.6931471805599453,2.423031246069913,2.579458966729223,638940480.0,True,False,False,False,False,True,False,False,False,False,False,-0.7348300223788791,1.9100000000000001,1.0986122886681098,1.9100000000000001,-1.3862943611198906,2.1972245773362196,9.288781798282745,12.22653542684384,4.846062492139826,5.158917933458446,-1.4696600447577581
72,Juldha Acorn 100 MW Unit-3,4.605170185988092,2020.0,Juldha Acorn 100 MW Unit-3,6.414378698010473,-0.35667494393873245,2.295560478057081,2.7140322727797574,586327094.0,True,False,False,False,False,True,False,False,False,False,False,-0.7658653069553175,5.16,1.0986122886681098,5.16,-0.7133498878774649,2.1972245773362196,9.210340371976184,12.828757396020945,4.591120956114162,5.428064545559515,-1.531730613910635
73,HF 113 MW Power Limited,4.727387818712341,2019.0,HF 113 MW Power Limited,6.31184424055165,-0.579818495252942,2.379546134130174,2.7350166493320245,577999758.0,True,False,False,False,False,True,False,False,False,False,False,-0.8522636213501965,4.609999999999999,1.3862943611198906,4.609999999999999,-1.159636990505884,2.772588722239781,9.454775637424682,12.6236884811033,4.759092268260348,5.470033298664049,-1.704527242700393
75,Lobonchora Orion Power Rupsha Ltd. 105 MW,4.653960350157523,2018.0,Lobonchora Orion Power Rupsha Ltd. 105 MW,5.889341562763096,-5.521460917862246,2.5416019934645457,2.8172035149987327,540193296.0,True,False,False,False,False,True,False,False,False,False,False,-0.8490779629205504,4.030000000000001,1.6094379124341003,4.030000000000001,-11.042921835724492,3.2188758248682006,9.307920700315046,11.778683125526191,5.0832039869290915,5.634407029997465,-1.6981559258411008
76,Kodda 150 MW PP,5.003946305945459,2018.0,Kodda 150 MW PP,5.959709397159687,-1.1776554960085626,2.714694743820879,2.987700101856727,480557237.0,False,False,True,False,False,True,False,False,False,False,False,-1.1125153530131033,4.74,1.6094379124341003,4.74,-2.355310992017125,3.2188758248682006,10.007892611890918,11.919418794319373,5.429389487641758,5.975400203713454,-2.2250307060262067
77,Anlima Chattogram 116 MW,4.7535901911063645,2021.0,Anlima Chattogram 116 MW,4.829400346728391,-2.120263536200091,2.6602595372658615,2.719978771967484,755550326.0,True,False,False,False,False,True,False,False,False,False,False,-0.6949658061306051,0.879999999999999,0.6931471805599453,0.879999999999999,-4.240527072400182,1.3862943611198906,9.507180382212729,9.658800693456781,5.320519074531723,5.439957543934968,-1.3899316122612104
78,Desh Energy Chandpur  200 MW,5.298317366548036,2018.0,Desh Energy Chandpur  200 MW,6.283200703146423,-1.171182981502945,2.6078614738467776,2.8449093838194073,752048193.0,True,False,False,False,False,True,False,False,False,False,False,-1.0303325655479527,3.629999999999999,1.6094379124341003,3.629999999999999,-2.34236596300589,3.2188758248682006,10.596634733096073,12.566401406292846,5.215722947693555,5.689818767638815,-2.0606651310959054
79,"Payra, Potuakhali 2*660 MW PP (U-1)",6.432940092739179,2020.0,"Payra, Potuakhali 2*660 MW PP (U-1)",7.625310104703824,-0.9238189982949466,2.151762203259462,2.6282852326333477,3998490350.0,False,True,False,False,False,False,False,False,False,False,False,-0.6991255889307972,5.25,1.0986122886681098,5.25,-1.847637996589893,2.1972245773362196,12.865880185478359,15.250620209407648,4.303524406518924,5.256570465266695,-1.3982511778615945
81,"Payra, Potuakhali 2*660 MW PP (U-2)",6.432940092739179,2020.0,"Payra, Potuakhali 2*660 MW PP (U-2)",7.474491995673342,-1.0817551716016867,2.151762203259462,2.6282852326333477,3998490350.0,False,True,False,False,False,False,False,False,False,False,False,-0.6991255889307972,5.25,1.0986122886681098,5.25,-2.1635103432033733,2.1972245773362196,12.865880185478359,14.948983991346685,4.303524406518924,5.256570465266695,-1.3982511778615945
