,own_x,own_y,plant_name,plant_name_alt,plant,fuel_type_x,fuel_type_y,capacity_mw,capacity,potential_name,potential_cap
120,Public,Public,Rauzan 210 MW /ST (1st),"Chittagong Power Station, Rawzan",Raozan 210 MW Unit-1,GAS,GAS,210,210,Raujan 25 MW PP,25
121,Public,Public,Rauzan 210 MW /ST (2nd),"Chittagong Power Station, Rawzan",Ghorasal 210 MW STunit4,GAS,GAS,210,210,Sirajganj 225 MW CCPP (2nd  Unit),220
122,Public,BPDB,Bibiana III 400 MW CCPP,Bibiyana-3 400MW,Bibiana #3 CCPP,GAS,GAS,400,400,Bibiana #3 CCPP,400
123,Public,Public,Sylhet 225 MW CCPP,Sylhet 225 MW Peaking Power Plant,Sylhet 20 MW PP,GAS,GAS,231,20,Sylhet 20 MW PP,20
124,Public,BPDB,Baghabari 50 MW Peaking RE,Baghabari 50 Peaking Power Plant,Santahar 50 MW  Peaking Power Plant,HFO,HFO,52,50,Hathazari 100 MW Peaking PP,98
125,Public,Public,Saidpur 20 MW /GT,Sayedpur Gas Turbine Power Station,Saidpur 20 MW PP,HSD,HSD,20,20,Chandpur 115 MW Power Plant,115
126,Public,Public,Sylhet 1x20 MW /GT,Kumergoan Gt Power Sylhet,Sylhet 20 MW PP,GAS,GAS,20,20,Sylhet 150 MW Power Plant,142
127,Public,Public,Bheramara GT unit-3,Bheramara Power Station,Bheramara 20 MW PP GT3,HSD,HSD,20,20,Bheramara 3 Years Rental PP,110
128,Public,, Ghorasal Repowered CCPP Unit-3,Ghorashal Power Station 630MW,,GAS,,260,,Ghorashal 365 MW CCPP,365
129,Public,Public, Ghorasal Repowered CCPP Unit-4,Ghorashal Power Station 630MW,Ghorasal 210 MW STunit4,GAS,GAS,210,210,Ghorashal 365 MW CCPP,365
130,Public,Public, Ghorasal TPP Unit-5,Ghorashal Power Station 630MW,Ghorasal 210 MW STunit4,GAS,GAS,210,210,Ghorashal 365 MW CCPP,365
131,Public,Public, Ghorasal TPP Unit-6,Ghorashal Power Station 630MW,Ghorasal 210 MW STunit4,GAS,GAS,0,210,Ghorashal quick rental PP,145
132,Public,BPDB,Ghorasal 365 MW CCPP Unit-7,Ghorashal Power Station 365MW,Ghorashal 365 MW CCPP,GAS,GAS,365,365,Ghorashal 365 MW CCPP,365
133,Public,BPDB,Bibiyana - South  383 MW CCPP,Bibiyana - South,Bibiana South 383 MW CCPP,GAS,GAS,383,383,Bibiana South 383 MW CCPP,383
134,Public,BPDB,Shahjibazar 330 MW CCPP,Shahjibazar 330 CCPP,Shahjibazar CCPP,GAS,GAS,330,330,Shahjibazar CCPP,330
135,Public,,"Chapainobabgonj Peaking Power Station 100 MW, Amnura",Chapainobabgonj Peaking Pp 100 MW Amnura,,HFO,,104,,,
136,Public,BPDB,"Barapukuria Coal based S/T (unit 1,2)",Barapukuria Power Station 1,Barapukuria 275 MW (3rd Unit),COAL,COAL,250,274,Barapukuria 275 MW (3rd Unit),274
137,Public,BPDB,Barapukuria Coal based S/T (unit 3),Barapukuria Power Station 2,Barapukuria 275 MW (3rd Unit),COAL,COAL,274,274,Barapukuria 275 MW (3rd Unit),274
138,Public,BPDB,Gopalganj 100 MW Peaking PP,Gopalgonj Peaking Power Plant,Gopalganj 100 MW Peaking PP,HFO,HFO,109,109,Madangonj 55 MW Peaking Plant,55
139,Public,BPDB,"Barapukuria Coal based S/T (unit 1,2)",Barapukuria Power Station 1,Barapukuria 275 MW (3rd Unit),COAL,COAL,250,274,Barapukuria 275 MW (3rd Unit),274
140,Public,BPDB,Barapukuria Coal based S/T (unit 3),Barapukuria Power Station 2,Barapukuria 275 MW (3rd Unit),COAL,COAL,274,274,Barapukuria 275 MW (3rd Unit),274
141,Public,,Shikalbaha 225 MW PS,Shikalbaha 225 MW Shamipur (Dual Fuel),,GAS,,225,,,
142,Public,BPDB,Bhola 225 MW CCPP,Bhola 225 MW CCPP,Bhola 225 MW CCPP,GAS,GAS,194,194,Bhola 220 MW CCPP,220
143,Public,IPP,Katakhali 50 MW PP,Katakhali 50MW Power Plant,Potuakhali 150 MW PP,HFO,HFO,50,150,Potuakhali 150 MW PP,150
144,Public,Public,Tongi 80 MW GTPP,Tongi Power Station,Tongi 105 MW PP,GAS,GAS,105,105,Tongi 105 MW PP,105
145,Public,Public,Rangpur 20 MW /GT,Rangpur Gas Turbine Power Station,Rangpur 20 MW PP,HSD,HSD,20,20,Rangpur 20 MW PP,20
146,Public,BPDB,Hathazari 100 MW Peaking PP,Hathazari Peacking Power Plant,Hathazari 100 MW Peaking PP,HFO,HFO,98,98,Hathazari 100 MW Peaking PP,98
147,Public,BPDB,Shahazibazar 100 MW GT,Shahjibazar 100 P/S,Shajibazar 100 MW PP,GAS,GAS,100,100,Shajibazar 100 MW PP,100
148,Public,Public,Haripur GTPP,Sbu Haripur (BPDB Book Costs),Haripur 32 MW GT1,GAS,GAS,32,32,Haripur 32 MW GT1,32
149,Public,BPDB,Titas 50 MW Peaking PP,Titas 50 MW Peacking Power Plant,Bera 70 MW Peaking PP,HFO,HFO,52,71,Bera 70 MW Peaking PP,71
150,IPP,IPP,CLC Power Co. Ltd. 108 MW Bosila Keranigonj,CLC Power Company Ltd.,"Bosila, Keraniganj 108 MW PP",HFO,HFO,108,108,"Bosila, Keraniganj 108 MW PP",108
151,IPP,IPP,APR Energy 300MW,APR Energy 300MW,"Pangaon, keraniganj 300 MW PP",HSD,HSD,300,300,,
152,RENTAL & SIPP,Private,Bogura 20 RPP (3 Yrs) Energy Prima,"ENERGYPRIMA, BOGRA",Bogura 3 Years RPP (Energy Prima),GAS,GAS,20,20,Bogura 3 Years RPP (Energy Prima),20
153,RENTAL & SIPP,Rental (BPDB),"IEL, Meghnaghat 100 MW",IELCONSOURTIUM & ASSOCIATES,Meghnaghat quick rental PP,HFO,HFO,100,100,Meghnaghat 583 MW CCPP,583
