,own,plant_name_x,fuel_type,capacity_mw,net_generation_gwh,usage,match_name_plants,plant_name_y,costs_name,2021_units,2021_amount,2021_cost_per_unit,2022_units,2022_amount,2022_cost_per_unit,costs_name_2022
116,IPP,Daudkandi 200MW(Bangla Trac),HSD,200,40.5404,0.02,Daudkandi 200MW(Bangla Trac),Daudkandi 200MW(Bangla Trac),Bangla Track Power Company Ltd.,39585792,4185097685,105.72,159163968,6736713233,42.33,
45,Public,Bheramara 360 MW CCPP (NWPGCL),Gas,410,2706.8683,0.789,Bheramara 360 MW CCPP (NWPGCL),Bheramara 360 MW CCPP (NWPGCL),North West Power Gen (NWPGCL)- Bheramara,2706234738,7636097844,2.82,1966292933,6934357044,3.53,
41,IPP,ECPV Chattogram Limited 108 MW,F.Oil,108,190.2545,0.2,,,ECPV Power Ltd.,190254480,2569220856,13.5,407101368,7158148504,17.58,ECPVPower Ltd.
79,IPP,Digital  Power & Associates Gagnagar,F.Oil,102,325.564,0.36,Digital  Power & Associates Gagnagar,Digital  Power & Associates Gagnagar,Digital Power & Associates Ltd.,325564002,3736039993,11.48,440988642,7478876342,16.96,
71,IMPORT,Import from Tripura (1st Phase),Import,100,1028.818,,,,NVVN Ltd. - India 160 MW (Tripura),1028817960,7420242117,3.13,941241612,7484684395,7.95,NWN Ltd.- India 160 MW (Tripura)
72,IMPORT,Import from Tripura (2nd  Phase),Import,60,1023.5395,,,,NVVN Ltd. - India 160 MW (Tripura),1028817960,7420242117,3.13,941241612,7484684395,7.95,NWN Ltd.- India 160 MW (Tripura)
57,Public,Sirajgonj 210 MW CC (NWPGCL) Unit-2,Gas,220,1135.6566,0.616,Sirajgonj 210 MW CC (NWPGCL) Unit-2,Sirajgonj 210 MW CC (NWPGCL) Unit-2,North West Power Gen (NWPGCL)- Sirajgonj (Unit - 2),1135656573,4351973695,3.83,1008745563,7522171723,7.46,
30,Public,Ashuganj 450 MW CCPP (South),Gas,360,1955.573,0.646,Ashuganj 450 MW CCPP (South),Ashuganj 450 MW CCPP (South),APSCL (450 MW) South,1955572989,7571323434,3.87,2135112449,8036514579,3.76,
53,IPP,Julda 100 MW Unit - 2 (Acorn ),F.Oil,100,687.7112,0.79,,,Acron Infrastructure Services Ltd. Unit-2,687711168,7359103192,10.7,512083584,8055322054,15.73,Acron Infrastructure Services Ltd.Unit-2
110,IPP,Orion Power Sonargaon Ltd.,F.Oil,104,451.8127,0.5,Orion Power Sonargaon Ltd.,Orion Power Sonargaon Ltd.,Orion Power Sonargaon Ltd.,451901664,5095211408,11.28,638940480,8427320532,13.19,
47,IPP,Juldha Acorn 100 MW Unit-3,F.Oil,100,610.5613,0.7,,,Acron Infracture Service Ltd. (Unit-3),610561267,6065069101,9.93,586327094,8847932285,15.09,Acron lnfracture Service Ltd.(Unit-3)
107,IPP,HF 113 MW Power Limited,F.Oil,113,551.0603,0.56,HF 113 MW Power Limited,HF 113 MW Power Limited,HF Power Company Limited,551060311,5951666116,10.8,577999758,8906890033,15.41,
10,Public,Gazipur 100 MW PP,F.Oil,105,370.9008,0.41,,,RPCL - Gazipur (105MW),372311616,4561729240,12.25,535752588,8934646402,16.68,RPCL-Gazipur (105MW)
46,IPP,Lobonchora Orion Power Rupsha Ltd. 105 MW,F.Oil,105,361.1674,0.004,,,Orion Power Rupsha Ltd. - Khulna (105MW),361167408,4586519321,12.7,540193296,9038681251,16.73,Orion Power Rupsha Ltd.- Khulna (105MW)
39,IPP,Sembcorp NWPGCL,GAS,414,2945.2366,0.81,,,Sembcorp NWPC Ltd. - Sirajgonj (282MW),2945236563,9029761730,3.07,2817383745,9132705810,3.24,Sembcorp NWPC Ltd.- Sirajgonj (282MW)
11,Public,Kodda 150 MW PP,F.Oil,149,387.4975,0.308,Kodda 150 MW PP,Kodda 150 MW PP,BPDB RPCL PowerGen Ltd.,387788703,5857190239,15.1,480557237,9535028277,19.84,
49,IPP,Baraka Shikalbaha 105MW PS,F.Oil,105,160.1848,0.17,,,Baraka Shikalbaha Power Ltd. (105MW),159651421,2774600010,17.38,610898228,9816459440,16.07,Baraka Shikalbaha Power Ltd.(105MW)
50,IPP,Confidence Power  Ltd. 113MW Rangpur,F.Oil,113,494.4,0.5,,,Confidence Power Ltd. - Rangpur,494399990,5671576724,11.47,623970029,10001094642,16.03,Confidence Power Ltd.- Rangpur(113MW)
52,IPP,Bogura 113 MW PP (Confidence) Unit-1,F.Oil,113,468.1931,0.47,,,Confidence Power Ltd. (Unit-1),468193056,5469183763,11.68,613355712,10097178928,16.46,Confidence Power Ltd.(Unit-1)- Bogra
104,IPP,Karnaphuli Power Ltd.,F.Oil,110,87.2665,0.09,Karnaphuli Power Ltd.,Karnaphuli Power Ltd.,Karnaphuli Power Ltd.,85058900,2177111311,25.6,693947514,10738505984,15.47,
98,IPP,United Jamalpur PPL,F.Oil,115,538.4717,0.53,United Jamalpur PPL,United Jamalpur PPL,United Jamalpur 200MW,538471740,6669811635,12.39,627954216,10830596553,17.25,
48,IPP,Confidence CPBL- 2 Bogura,F.Oil,113,447.8107,0.45,,,Confidence Power Ltd. (Unit-2) - Bogra,447810720,5606954875,12.52,655152288,10851170802,16.56,Confidence Power Ltd.(Unit-2)- Bogra
43,Public,Khulna 225 MW (NWPGCL),HSD,230,279.0524,0.144,Khulna 225 MW (NWPGCL),Khulna 225 MW (NWPGCL),North West Power Gen (NWPGCL)- Khulna,279080308,7770389923,27.84,437277714,11138939273,25.47,
111,IPP,Anlima Chattogram 116 MW,F.Oil,116,125.1359,0.12,Anlima Chattogram 116 MW,Anlima Chattogram 116 MW,Anlima Energy Limited (116MW),123670544,1768065136,14.3,755550326,11468258410,15.18,
95,IPP,Desh Energy Chandpur  200 MW,F.Oil,200,535.4999,0.31,Desh Energy Chandpur  200 MW,Desh Energy Chandpur  200 MW,Desh Energy Chandpur Power Company Ltd.,535499933,7266737367,13.57,752048193,12934344889,17.2,
97,IPP,Ashugonj 150 MW (Midland East),F.Oil,150,410.3474,0.31,Ashugonj 150 MW (Midland East),Ashugonj 150 MW (Midland East),Midland East Power Company Ltd.,410347432,5106156835,12.44,858896611,13304285799,15.49,
45,IPP,Kodda Gazipur 149MW Power Ltd. (unit-1 Summit) ACE Alliance,F.Oil,149,791.75,0.61,,,ACE Alliance Power Ltd. (149MW) (Summit Gazipur),791750046,8370704611,10.57,809133408,13339615719,16.49,ACE Alliance Power Ltd.(149MW)(Summit Gazipur)
